Title,Genre,Budget,Homepage,Language,Overview,Poster path,Production company,Release Date,Commercial Success,Revenue,Tagline,Vote Average,All Genres
Fantastic Beasts and Where to Find Them,SF & Fantasy,180,http://www.fantasticbeasts.com/,English,In 1926  Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase  which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase  it sends the American wizarding authorities after Newt  and threatens to strain even further the state of magical and non-magical relations.,/gri0DDxsERr6B2sOR1fGLxLpSLx.jpg,Heyday films,2016,Blockbuster,809,From J.K. Rowling's wizarding world.,7.2,Fantasy  Family  Adventure
Shrek the Third,SF & Fantasy,160,http://www.shrekthethird.com/flash/index.html,English,The King of Far Far Away has died and Shrek and Fiona are to become King &amp; Queen. However  Shrek wants to return to his cozy swamp and live in peace and quiet  so when he finds out there is another heir to the throne  they set off to bring him back to rule the kingdom.,/lA17Mlz8hXVZsW5Y3WuUa8KPilQ.jpg,DreamWorks SKG,2007,High,799,Who's ready for Thirds?,6.0,Comedy  Fantasy  Family  Adventure
Pirates of the Caribbean: Dead Men Tell No Tales,Comedy,230,http://pirates.disney.com/pirates-of-the-caribbean-dead-men-tell-no-tales,English,Thrust into an all-new paycheck  a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis  the evil Capt. Salazar  escape from the Devil's Triangle. Jack's only hope of a payout lies in seeking out the legendary Trident of Numbers  but to find it  he must forge an uneasy alliance with a reasonably intelligent and pretty astronomer and a irritating young man in the British navy.,/xbpSDU3p7YUGlu9Mr6Egg2Vweto.jpg,Walt Disney Pictures,2017,High,794,,6.6,Action  Comedy  Fantasy  Adventure
Harry Potter and the Prisoner of Azkaban,Family,130,,English,Harry  Ron and Hermione return to Hogwarts for another magic-filled year. Harry comes face to face with danger yet again  this time in the form of escaped convict  Sirius Black – and turns to sympathetic Professor Lupin for help.,/jUFjMoLh8T2CWzHUSjKCojI5SHu.jpg,1492 Pictures,2004,High,790,Something wicked this way comes.,7.7,Fantasy  Family  Adventure
Fast & Furious 6,Action,160,http://www.thefastandthefurious.com/,English,Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend  Letty.,/b9gTJKLdSbwcQRKzmqMq3dMfRwI.jpg,Universal Studios,2013,High,789,All roads lead to this,6.7,Action  Thriller
The Lion King,Family,45,http://movies.disney.com/the-lion-king,English,A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.,/bKPtXn9n4M4s8vvZrbw40mYsefB.jpg,Walt Disney Pictures,2011,High,788,Life's greatest adventure is finding your place in the Circle of Life.,8.0,Family  Drama
Indiana Jones and the Kingdom of the Crystal Skull,Action,185,http://www.indianajones.com/site/index.html,English,Set during the Cold War  the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them  Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.,/qY1x6v5daMDTr904G3y84WVgpfC.jpg,Lucasfilm,2008,High,787,The adventure continues . . .,5.7,Action  Adventure
Spider-Man 2,SF & Fantasy,200,http://www.sonypictures.com/movies/spider-man2/,English,Peter Parker is going through a major identity crisis. Burned out from being Spider-Man  he decides to shelve his superhero alter ego  which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime  Parker still can't act on his feelings for Mary Jane Watson  a girl he's loved since childhood.,/qtBFrsEQ4oXW8sKvRxkKnYuPLg.jpg,Columbia Pictures,2004,High,784,There's a hero in all of us.,6.7,Action  Fantasy  Adventure
Deadpool,Action,58,http://www.foxmovies.com/movies/deadpool,English,Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson  who after being subjected to a rogue experiment that leaves him with accelerated healing powers  adopts the alter ego Deadpool. Armed with his new abilities and a dark  twisted sense of humor  Deadpool hunts down the man who nearly destroyed his life.,/inVq3FRqcYIRl2la8iZikYYxFNR.jpg,Twentieth Century Fox Film Corporation,2016,High,783,Witness the beginning of a happy ending,7.4,Action  Comedy  Adventure
Guardians of the Galaxy,Action,170,http://marvel.com/guardians,English,Light years from Earth  26 years after being abducted  Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.,/y31QB9kn3XSudA15tV7UWQ9XLuW.jpg,Marvel Studios,2014,High,773,All heroes start somewhere.,7.9,Action  Science Fiction  Adventure
The Da Vinci Code,Thriller,125,http://www.sonypictures.com/homevideo/thedavincicode/index.html,English,When the curator of the Louvre is found murdered in the famed museum's hallowed halls  Harvard professor  Robert Langdon and cryptographer  Sophie Neve must untangle a deadly web of deceit involving the works of Leonardo da Vinci.,/5IqaT3fza0Y9vKazjGwDGsNuuS8.jpg,Columbia Pictures,2006,High,768,Seek the truth.,6.5,Thriller
Maleficent,Action,180,http://movies.disney.com/maleficent,English,The untold story of Disney's most iconic villain from the 1959 classic 'Sleeping Beauty'. A beautiful  pure-hearted young woman  Maleficent has an idyllic life growing up in a peaceable forest kingdom  until one day when an invading army threatens the harmony of the land.  Maleficent rises to be the land's fiercest protector  but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge  Maleficent faces an epic battle with the invading King's successor and  as a result  places a curse upon his newborn infant Aurora. As the child grows  Maleficent realizes that Aurora holds the key to peace in the kingdom - and to Maleficent's true happiness as well.,/4FYu1AAu14tuBU0lns0hbKiHUcH.jpg,Walt Disney Pictures,2014,High,759,Don't believe the fairy tale.,7.0,Action  Fantasy  Family  Adventure  Romance
Shrek Forever After,Family,165,http://www.shrekforeverafter.com/,English,A bored and domesticated Shrek pacts with deal-maker Rumpelstiltskin to get back to feeling like a real ogre again  but when he's duped and sent to a twisted version of Far Far Away—where Rumpelstiltskin is king  ogres are hunted  and he and Fiona have never met—he sets out to restore his world and reclaim his true love.,/enqVwbUu6OX5LHq0fuk7sLT35zy.jpg,DreamWorks Animation,2010,High,753,It ain't Ogre... Til it's Ogre,6.0,Comedy  Fantasy  Family  Adventure
The Amazing Spider-Man,Action,215,http://www.theamazingspiderman.com,English,Peter Parker is an outcast high schooler abandoned by his parents as a boy  leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers  Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father  he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors  his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego  The Lizard  Peter will make life-altering choices to use his powers and shape his destiny to become a hero.,/eA2D86Y6VPWuUzZyatiLBwpTilQ.jpg,Columbia Pictures,2012,High,752,The untold story begins.,6.5,Action  Fantasy  Adventure
The Hunger Games: Mockingjay - Part 1,SF & Fantasy,125,http://www.thehungergames.movie/,English,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,/gj282Pniaa78ZJfbaixyLXnXEDI.jpg,Lionsgate,2014,High,752,Fire burns brighter in the darkness,6.6,Science Fiction  Adventure  Thriller
The Chronicles of Narnia: The Lion  the Witch and the Wardrobe,Family,180,,English,Siblings Lucy  Edmund  Susan and Peter step through a magical wardrobe and find the land of Narnia. There  the they discover a charming  once peaceful kingdom that has been plunged into eternal winter by the evil White Witch  Jadis. Aided by the wise and magnificent lion  Aslan  the children lead Narnia into a spectacular  climactic battle to be free of the Witch's glacial powers forever.,/l8RKDgjl9co0IgFZblxhtIOi5Uj.jpg,Walt Disney,2005,High,749,Evil Has Reigned For 100 Years...,6.7,Fantasy  Family  Adventure
X-Men: Days of Future Past,SF & Fantasy,250,http://www.x-menmovies.com/,English,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,/giUK8ppRbfistadVzHtpainkhq4.jpg,Twentieth Century Fox Film Corporation,2014,High,748,To save the future  they must alter the past,7.5,Action  Fantasy  Science Fiction  Adventure
Madagascar 3: Europe's Most Wanted,Family,145,,English,Alex  Marty  Gloria and Melman are still trying to get back to the Big Apple and their beloved Central Park zoo  but first they need to find the penguins. When they travel to Monte Carlo  they attract the attention of Animal Control after gate crashing a party and are joined by the penguins  King Julian and Co.  and the monkeys. How do a lion  zebra  hippo  giraffe  four penguins  two monkeys  three lemurs travel through Europe without attracting attention and get back to New York? They join a traveling circus. Their attempts to get back to New York are consistently hampered by the Captain of Animal Control who wants to make Alex part of her collection. Once they make it back to New York Marty  Alex  Gloria and Melman realize that they want to be part of the traveling circus.,/wd7NcMifnuf66gD2Fm7Tzz3yJ54.jpg,DreamWorks Animation,2012,High,747,Six years ago  they disappeared without a trace. Next summer  they finally resurface.,6.4,Family
Suicide Squad,SF & Fantasy,175,http://www.suicidesquad.com/,English,From DC Comics comes the Suicide Squad  an antihero team of incarcerated supervillains who act as deniable assets for the United States government  undertaking high-risk black ops missions in exchange for commuted prison sentences.,/e1mjopzAS2KNsvpbpahQ1a6SkSn.jpg,DC Comics,2016,High,746,Worst Heroes Ever,5.9,Action  Fantasy  Science Fiction  Adventure
Monsters University,Family,200,,English,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,/a05xQU9huY3P5uurLcGGHmsf2Vh.jpg,Walt Disney Pictures,2013,High,744,School never looked this scary.,7.0,Family
The Matrix Reloaded,Thriller,150,,English,Six months after the events depicted in The Matrix  Neo has proved to be a good omen for the free humans  as more and more humans are being freed from the matrix and brought to Zion  the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed  ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250 000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war  Neo  Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough  Agent Smith has somehow escaped deletion  has become more powerful than before and has fixed Neo as his next target.,/ezIurBz2fdUc68d98Fp9dRf5ihv.jpg,Village Roadshow Pictures,2003,High,739,Free your mind.,6.7,Action  Science Fiction  Adventure  Thriller
Up,Comedy,175,http://disney.go.com/disneypictures/up/,English,Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78  life seems to have passed him by  until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.,/nk11pvocdb5zbFhX5oq5YiLPYMo.jpg,Pixar Animation Studios,2009,High,735,,7.8,Comedy  Family  Adventure
Gravity,Drama,105,http://gravitymovie.warnerbros.com/,English,Dr. Ryan Stone  a brilliant medical engineer on her first Shuttle mission  with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk  disaster strikes. The Shuttle is destroyed  leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic  every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.,/uPxtxhB2Fy9ihVqtBtNGHmknJqV.jpg,Warner Bros.,2013,High,716,Don't Let Go,7.3,Science Fiction  Drama  Thriller
Captain America: The Winter Soldier,Action,170,http://www.captainamericathewintersoldiermovie.com,English,After the cataclysmic events in New York with The Avengers  Steve Rogers  aka Captain America is living quietly in Washington  D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack  Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow  Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed  Captain America and the Black Widow enlist the help of a new ally  the Falcon. However  they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.,/5TQ6YDmymBpnF005OyoB7ohZps9.jpg,Marvel Studios,2014,High,715,In heroes we trust.,7.6,Action  Science Fiction  Adventure
